5000 300000
27 3198 113
1618 4954 -108
2193 4773 231
2285 2934 -52
135 2182 86
2101 4046 -127
3674 4915 229
512 2941 0
1585 3045 -110
920 1888 -73
415 4891 241
74 2904 -16
1097 1586 25
109 2906 138
417 4301 42
3550 4015 66
1788 1841 199
1851 3642 229
1380 4449 -94
105 1513 -16
2162 4310 224
1884 2399 -131
284 4559 -52
3249 3466 183
1290 3131 -25
87 2346 34
611 2033 46
843 1364 86
4265 4912 49
1695 2092 198
1827 2820 -58
3113 3619 239
77 1070 -102
990 1339 143
2837 3677 218
1071 4940 44
706 2526 -103
826 2656 199
526 4539 164
67 3220 -102
1586 1649 55
1319 1706 67
1305 2997 73
3365 4418 3
44 2112 -88
1434 1992 229
3041 4836 -71
3733 3770 15
830 3097 -57
119 1840 -100
1468 2929 92
1527 1801 29
799 2777 249
31 4338 131
265 3809 75
3801 4586 -116
676 1859 129
2939 4428 153
1588 3368 107
1701 2122 -60
1463 1529 -2
1719 4116 -124
1999 2654 113
3243 4146 102
3128 4298 92
840 1723 -88
1341 3989 -41
1274 1617 162
1344 4791 241
1270 2935 222
1062 3996 197
1319 4988 -7
255 2802 -26
2796 4371 226
1503 2737 10
2507 4630 228
3149 4080 -78
1189 4865 225
1183 3626 -4
3529 4545 -40
1270 4785 -55
1490 2340 -106
135 801 71
851 3416 -15
3758 4377 22
1154 1331 106
935 3374 235
1484 2179 -87
2769 4056 -25
21 3466 69
2088 2870 -54
4008 4138 220
1271 1944 243
736 2688 122
2882 3534 -14
745 3330 -23
2160 2305 134
3047 4664 41
2319 2709 -44
216 4756 -17
2233 3385 61
1617 1802 -6
2055 3276 44
55 4121 135
600 2729 204
752 4502 218
551 2914 -91
1321 3332 17
374 808 -1
367 3909 136
3656 4577 146
531 1032 -81
113 775 113
2198 4359 -46
1747 2926 171
14 3923 -114
566 3549 143
1053 4852 192
2525 3702 -119
3112 3563 -143
2520 4087 -142
1767 3193 36
931 2215 -63
1004 3483 -143
603 2028 -20
621 2573 -119
3432 3817 -26
1488 2877 -146
2868 4149 18
1129 2099 200
1536 4957 146
2524 4929 192
1846 3534 148
487 780 78
2328 4490 172
3212 3766 207
1178 4257 96
744 1821 -12
150 331 238
386 4141 10
1410 4982 -38
2220 2597 -35
3001 3737 48
2901 3432 -61
2583 3514 190
3749 4952 79
965 3322 156
263 2624 -9
1524 3323 102
3977 4777 109
1001 4519 123
1967 3028 117
700 2712 137
497 2346 75
3216 3679 -48
1443 3550 117
876 4064 135
678 3510 -110
3438 4437 236
1923 3224 244
1689 4470 -146
1598 3228 -55
690 1192 217
1113 2323 107
1473 2907 -98
